Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781579078,10,,Aggregated,1.500000,0.000000,1700,2500,2900,3400,5600,8800,9200,9300,9500,9500,9500,127,0,1700,2348.3549351811275,128.58166200021515,9513.688000999537,1226.259842519685
1781579079,10,,Aggregated,1.900000,0.000000,1600,2500,2900,3400,5600,8800,9200,9300,9500,9500,9500,132,0,1600,2305.808401333377,128.58166200021515,9513.688000999537,1222.060606060606
1781579080,10,,Aggregated,1.900000,0.000000,1500,2400,2800,3400,5600,8800,9200,9300,9500,9500,9500,136,0,1500,2260.853149102988,128.58166200021515,9513.688000999537,1218.6911764705883
1781579081,10,,Aggregated,2.200000,0.000000,1500,2400,2800,3400,5600,8800,9200,9300,9500,9500,9500,139,0,1500,2231.5482660000307,128.58166200021515,9513.688000999537,1218.9928057553957
1781579082,10,,Aggregated,2.600000,0.000000,1400,2400,2700,3300,5300,8700,9200,9300,9500,9500,9500,145,0,1400,2156.3198990827827,128.58166200021515,9513.688000999537,1211.0344827586207
1781579083,10,,Aggregated,2.700000,0.000000,1400,2400,2700,3200,5300,8700,9200,9300,9500,9500,9500,146,0,1400,2145.8343745000275,128.58166200021515,9513.688000999537,1210.5958904109589
1781579084,10,,Aggregated,2.800000,0.000000,1400,2300,2600,3200,5300,8700,9200,9300,9500,9500,9500,150,0,1400,2109.3131088533614,128.58166200021515,9513.688000999537,1207.2066666666667
1781579085,10,,Aggregated,3.200000,0.000000,1400,2200,2600,3000,5000,8700,9100,9300,9500,9500,9500,154,0,1300,2080.644812168856,128.58166200021515,9513.688000999537,1206.2142857142858
1781579086,10,,Aggregated,3.100000,0.000000,1400,2200,2600,3000,5000,8700,9100,9300,9500,9500,9500,155,0,1400,2079.161002716161,128.58166200021515,9513.688000999537,1207.2387096774194
1781579087,10,,Aggregated,3.500000,0.000000,1400,2100,2600,2900,4900,8600,9100,9300,9500,9500,9500,162,0,1400,2044.6859178148522,128.58166200021515,9513.688000999537,1203.5925925925926
1781579088,10,,Aggregated,3.500000,0.000000,1300,2100,2500,2800,4900,8600,9100,9300,9500,9500,9500,166,0,1300,2004.963427036197,128.58166200021515,9513.688000999537,1199.4698795180723
1781579089,10,,Aggregated,3.200000,0.000000,1300,2000,2500,2800,4900,8600,9100,9300,9500,9500,9500,170,0,1200,1962.6456187941592,128.58166200021515,9513.688000999537,1193.4411764705883
1781579090,10,,Aggregated,3.900000,0.000000,1200,2000,2500,2800,4700,8600,9100,9300,9500,9500,9500,174,0,1100,1928.8276870057873,128.58166200021515,9513.688000999537,1191.2068965517242
1781579091,10,,Aggregated,3.900000,0.000000,1200,2000,2500,2700,4700,8600,9100,9300,9500,9500,9500,176,0,1100,1919.677454721637,128.58166200021515,9513.688000999537,1191.971590909091
1781579092,10,,Aggregated,3.800000,0.000000,1200,2000,2500,2700,4700,8600,9100,9300,9500,9500,9500,177,0,1200,1916.7157948531542,128.58166200021515,9513.688000999537,1191.0395480225989
1781579093,10,,Aggregated,3.800000,0.000000,1200,2000,2500,2700,4700,8600,9100,9300,9500,9500,9500,178,0,1200,1917.7844825393802,128.58166200021515,9513.688000999537,1191.4719101123596
1781579094,10,,Aggregated,3.700000,0.000000,1200,2000,2500,2700,4700,8600,9100,9300,9500,9500,9500,179,0,1200,1920.65990582128,128.58166200021515,9513.688000999537,1192.8659217877096
1781579095,10,,Aggregated,3.300000,0.000000,1300,2100,2500,2800,4700,8400,9100,9300,9500,9500,9500,182,0,1300,1956.8132349231355,128.58166200021515,9513.688000999537,1206.598901098901
1781579096,10,,Aggregated,3.200000,0.000000,1300,2100,2600,3000,4700,8400,9100,9300,9500,9500,9500,185,0,1300,1995.5426996162819,128.58166200021515,9513.688000999537,1208.0432432432433
1781579097,10,,Aggregated,3.000000,0.000000,1300,2100,2600,3200,4700,8400,9100,9300,9500,9500,9500,187,0,1300,2019.1957246952475,128.58166200021515,9513.688000999537,1209.390374331551
1781579098,10,,Aggregated,2.800000,0.000000,1400,2100,2600,3200,4700,8400,9100,9300,9500,9500,9500,190,0,1400,2022.5052576579503,128.58166200021515,9513.688000999537,1210.821052631579
1781579099,10,,Aggregated,3.000000,0.000000,1400,2100,2600,3000,4600,8400,9100,9300,9500,9500,9500,192,0,1400,2020.1903775365229,128.58166200021515,9513.688000999537,1212.390625
1781579100,10,,Aggregated,2.400000,0.000000,1400,2100,2600,3000,4600,8400,9100,9300,9500,9500,9500,193,0,1400,2021.0246087358128,128.58166200021515,9513.688000999537,1212.3367875647668
1781579101,10,,Aggregated,2.400000,0.000000,1400,2100,2600,3200,4600,8400,9100,9300,9500,9500,9500,195,0,1400,2029.7854093385242,128.58166200021515,9513.688000999537,1216.2
1781579102,10,,Aggregated,2.100000,0.000000,1400,2200,2600,3000,4600,8400,9100,9300,9500,9500,9500,198,0,1400,2033.653172474803,128.58166200021515,9513.688000999537,1218.141414141414
1781579103,10,,Aggregated,1.900000,0.000000,1400,2200,2600,3000,4600,8400,9100,9300,9500,9500,9500,200,0,1400,2034.4407838000561,128.58166200021515,9513.688000999537,1219.035
1781579104,10,,Aggregated,1.900000,0.000000,1400,2200,2600,2900,4500,5900,9100,9200,9500,9500,9500,201,0,1400,2036.101994776172,128.58166200021515,9513.688000999537,1219.547263681592
